Reading additional input from stdin...
OpenAI Codex v0.137.0
--------
workdir: /Users/abdslm/Desktop/SOLIDER-REID
model: gpt-5.5
provider: openai_http
approval: never
sandbox: read-only
reasoning effort: xhigh
reasoning summaries: none
session id: 019eeeaa-8e3a-7b72-bdee-6706a8228e9e
--------
user
Review experiments/cargo_cvpb/afd_train.py, focus on the NEW --ovli OVLIHead (Opposite-View Late-Interaction Evidence Alignment): token proj (Conv2d 2048->256 on a layer4 feature-map hook, adaptive-pool to 8x4 grid, L2-norm per token), opposite-view supervised-contrastive loss score=alpha*cos(global)+(1-alpha)*sym_MaxSim(bidirectional mean-max), logsumexp multi-positive, tau0.05 alpha0.5, lambda warmup --ovli_warmup. 逐行查: bug/runtime/shape/device/AMP数值安全; ★proj新参数是否正确加进optimizer(list(model.parameters())+list(ovli.parameters())+assert自检, 这是关键); MaxSim/logsumexp数值(无NaN, empty-candidate用-1e4 floor); train/test对称(eval默认global-only, --ovli_rerank可选); --ovli off精确复现baseline; --ovp/--ovli互斥。用web search查novelty撞车: opposite-view/cross-view token-set late-interaction(ColBERT/MaxSim)作为training-time cross-view retrieval loss 在 aerial-ground 或 person ReID 的先例(对比CM-EMD/G2DA VI-ReID OT, CVFT geo-localization, DTST token selection, CMPC prototype)。输出 Verdict(approve/needs-attention)+findings(severity Critical/High/Medium/Low)。
codex
我会按 code review 方式处理：先读项目接手文档和目标文件，定位 OVLI 参数接入、shape/device/AMP/数值路径，再补一轮 web novelty 对照。
exec
/bin/zsh -lc "sed -n '1,220p' experiments/results.md" in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
# 实验结果总表 — Phase 2: Pure Pose Heatmap

## 数据集: Occluded-Duke

### 无后处理（纯模型结果）

> 注：本节默认记录各实验的**首次单 seed / 单 checkpoint**结果，用于保留搜索轨迹；是否能作为论文主结论，以文末 **4090 多种子验证** 为准。

| ID | 方法 | mAP | R-1 | R-5 | R-10 | vs Baseline | 备注 |
- IR/RGB 检测率比 0.14, 置信比 -0.13。

**判定: 2D pose 在热成像上完全 OOD(所有 pose/SMPL 工具都 RGB 训), IR 提不出人体几何。SMPL 几何锚需两模态都提几何 → 死。** 加上 RegDB RGB/IR 非同时拍(几何不对应), 双重证死。
**kill-switch 价值兑现: 5min GPU 在实现前拦住, 省了 Swin 改造+几何对齐几天工。**

→ **转 fallback: Swin-VI 机制**。VI-ReID 至今 ResNet50 主导、无 Swin/CLIP 赢家(纯 ViT PMT 才 67.5 R1), 团队是 Swin/SOLIDER 专家。CAJ ResNet baseline 已搭好(POOL 76.80/69.14)→ 换 Swin-Small(SOLIDER pretrain)→ 强 backbone 在 VI-ReID 帮不帮? 帮=机制论文; 不帮=为什么不帮(模态 gap 吞掉 backbone 红利)也是机制问题。先做这个经验首验。

## 对照组 / 消融(扛"通用正则"质疑)
- baseline CAJ(双流, 无 SMPL)。
- +SMPL 几何对齐(完整)。
- ★**shuffle SMPL 几何**(跨人乱配几何)→ 增益应塌(证明是几何对齐, 非通用正则)。
- 单变量: 只加 SMPL 对齐 loss, 其余不动。

## 预期结果
- 过 CAJ baseline(~67 mAP), 冲及格线 ~73-75 mAP(SYSU all-search single-shot)。
- 天花板参考 IDKL 79.85。
- 失败最可能原因: (a) IR SMPL fit 太差(kill-switch 拦); (b) 几何对齐增益是通用正则(shuffle 对照拦)。

## 数据 / 设施
- RegDB(今天可下, github githubXin89/RegDB-dataset Drive) 先原型; SYSU-MM01(邮件 wuanc@mail.sysu.edu.cn)+ LLCM(zhangyk@stu.xmu.edu.cn)申请中。
- SMPL infra 在 lab-3090(ROMP/SMPLer-X)。
- venue: ICME/ICPR/Neurocomputing/PR Letters → 冲 ACCV/BMVC。

## 待办(远程回来后)
1. kill-switch: IR SMPL fit 可行性。
2. 复现 CAJ baseline(Swin backbone)。
3. design v1: 几何对齐 loss 的具体形式(关节热图对齐 / mesh 顶点对齐 / 姿态参数一致)。
4. 双审(Claude + Codex)→ 训练。

 succeeded in 0ms:
# encoding: utf-8
"""
CVPB training loop on CARGO = the afd_reid baseline trainer + OVP-Mem / OVLI.

This reuses the dataset / model / eval from ../afd_reid unchanged.  Two optional
cross-view auxiliary mechanisms are bolted on (both default OFF -> the BoT
baseline is reproduced exactly):

  --ovp   : OVP-Mem (Opposite-View Prototype Memory).  Per-pid per-view EMA
            prototype bank + opposite-view InfoNCE.  Known prior-art overlap
            (CMPC / MBCE / PDPA) -> kept only as an empirical auxiliary.

  --ovli  : OVLI (Opposite-View Late-Interaction Evidence Alignment).  The
            headline mechanism.  NO prototype / memory / EMA.  Instead a pure
            sample-to-sample, in-batch, opposite-view *retrieval* loss whose
            score is a hybrid of (a) global cosine and (b) a symmetric
            token-set late-interaction (ColBERT/MaxSim-style **partial**
            matching).  Framing: cross-view identity evidence is a partial
            token-set matching problem, not a global prototype alignment one --
            aerial<->ground has no 1-1 part correspondence, so a global
            prototype penalizes missing regions whereas partial MaxSim lets the
            tokens that *can* be matched carry the similarity.

OVLI details (the load-bearing design)
--------------------------------------
* Tokens: hook model.layer4 (the GeM-input spatial map, 16x8 for 256x128),
  adaptive-avg-pool to a KxK' grid, flatten to K local tokens, then a NEW
  learnable 1x1-conv/linear projection to ovli_dim (256) + per-token L2-norm.
  ** The projection is a new learnable parameter set and IS added to the
     optimizer ** (this is the key structural difference vs OVP, which adds no
     params).  The hook does NOT detach -> gradient flows layer4 -> proj.

* Opposite-view retrieval loss (supervised-contrastive, logsumexp):
  within the batch, for each anchor i in view v, the positives are the same-pid
  samples in the OPPOSITE view (1-v) and the negatives are the opposite-view
  samples of OTHER pids.  Same-view samples are excluded as candidates entirely
  (this is a *cross-view* objective).  Pairwise score:
      score(i,j) = alpha * cos(g_i, g_j)
                 + (1 - alpha) * sym_MaxSim(tok_i, tok_j)
      sym_MaxSim = 0.5 * ( mean_u max_s <u,s> + mean_s max_u <u,s> )   # bidir
  Multi-positive InfoNCE per anchor:
      L_i = -logsumexp(score(i,pos)/tau) + logsumexp(score(i,cand)/tau)
  averaged over anchors that have >=1 opposite-view positive AND >=1
  opposite-view negative in the batch.  No memory / EMA / prototype.

* lambda warmup (--ovli_warmup, default 10): the H1 lesson from OVP -- linearly
  ramp lambda over the first N epochs so the (randomly-initialised) projection
  cannot inject a sharp early gradient.  Per-epoch log records
  OVLI[lam_eff pos_score neg_score gap] for collapse / over-strong monitoring.

* eval: OVLI is a TRAIN-time loss only; default eval is global-only (unchanged,
  identical to the baseline).  --ovli_rerank additionally reports a
  global + sym_MaxSim rerank at eval time (both numbers printed), so train/test
  stay symmetric and the rerank is opt-in.

Baseline (no flags):
    resnet50(IMAGENET1K_V1) + GeM + BNNeck
    loss = CE(label-smooth 0.1) + batch-hard triplet (margin 0.3)
    PK sampler P=16 x K=4 (bs=64), AdamW lr 3.5e-4, 10-ep warmup + cosine, 60 ep.
    eval every 10 ep: A->G and G->A cross-view mAP / R1 / mINP.

--ovp (OVP-Mem):
    Maintain, per train pid, two EMA prototypes (aerial / ground) of the
    L2-normalized BNNeck feature in a register_buffer of shape
    [num_pid, 2, feat_dim]; EMA momentum 0.2.  Each step:
      1) update the prototypes of the pids/views present in the batch (EMA),
      2) add an InfoNCE loss pulling each sample toward its OWN pid's
         OPPOSITE-view prototype and away from all other pids' opposite-view
         prototypes:  CE( cos(z, P[:, opp_view]) / tau ,  y ).
    total = CE + triplet + lambda_ovp * OVP.   (batch size unchanged, bs=64.)

    Cold-start handling: a sample only contributes to the OVP loss once its own
    opposite-view prototype has been initialized (seen >=1 time); candidate
    columns that are still uninitialized are masked out of the InfoNCE logits so
    a zero prototype can never act as an easy negative/positive.

Run on lab-3090:
    cd /root/work/SOLIDER-REID/experiments/cargo_cvpb
    # OVP-Mem (empirical auxiliary):
    PYTHONUNBUFFERED=1 python3 afd_train.py \
        --data_root /root/work/SOLIDER-REID/data \
        --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovp \
        --ovp \
        2>&1 | tee /tmp/cvpb_ovp.log
    # OVLI (headline; late-interaction opposite-view retrieval):
    PYTHONUNBUFFERED=1 python3 afd_train.py \
        --data_root /root/work/SOLIDER-REID/data \
        --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovli \
        --ovli --ovli_rerank \
        2>&1 | tee /tmp/cvpb_ovli.log
    # baseline reproduction: drop all of --ovp / --ovli
"""
import os
import sys
import time
import math
import random
import argparse

import numpy as np
import torch
import torch.nn as nn
import torch.nn.functional as F
from torch.utils.data import DataLoader

# reuse afd_reid building blocks unchanged
sys.path.insert(0, os.path.join(os.path.dirname(os.path.abspath(__file__)),
                                '..', 'afd_reid'))
from cargo_dataset import (CARGO, CARGOImageDataset, build_transforms,  # noqa: E402
                           RandomIdentitySampler, filter_by_view)
from afd_model import build_model, weights_init_kaiming  # noqa: E402
# reuse the exact loss / schedule / eval helpers so nothing diverges
from afd_train import (CrossEntropyLabelSmooth, TripletLoss, WarmupCosineLR,  # noqa: E402
                       run_cross_view_eval, print_eval, set_seed)


# --------------------------------------------------------------------------- #
# OVP-Mem: opposite-view prototype memory
# --------------------------------------------------------------------------- #
class OVPMemory(nn.Module):
    """Per-pid, per-view EMA prototype bank + opposite-view InfoNCE loss.

    bank: register_buffer [num_pid, 2, feat_dim]  (view 0 = Aerial, 1 = Ground)
    init: register_buffer [num_pid, 2] uint8 = has this (pid,view) been seen.

    Prototypes are L2-normalized; features used for update/loss are the
    L2-normalized BNNeck features (detached for the EMA update).
    """

    def __init__(self, num_pid, feat_dim, momentum=0.2, tau=0.05):
        super().__init__()
        self.num_pid = num_pid
        self.feat_dim = feat_dim
        self.momentum = momentum          # weight on the *new* batch mean
        self.tau = tau
        self.register_buffer('bank', torch.zeros(num_pid, 2, feat_dim))
        self.register_buffer('inited', torch.zeros(num_pid, 2, dtype=torch.uint8))

    @torch.no_grad()
    def update(self, feats, labels, views):
        """EMA-update prototypes for the (pid,view) groups present in the batch.

        feats:(B,D) L2-normed BN feats (detached). labels:(B,) long.
        views:(B,) long in {0,1}.  Per group, EMA toward the group mean, then
        re-normalize the prototype.
        """
        feats = feats.detach()
        for v in (0, 1):
            vmask = (views == v)
            if not torch.any(vmask):
                continue
            fv = feats[vmask]
            lv = labels[vmask]
            uniq = torch.unique(lv)
            for pid in uniq:
                pid_i = int(pid)
                gmean = fv[lv == pid].mean(dim=0)
                gmean = F.normalize(gmean, dim=0)
                if self.inited[pid_i, v] == 0:
                    self.bank[pid_i, v] = gmean
                    self.inited[pid_i, v] = 1
                else:
                    self.bank[pid_i, v] = ((1 - self.momentum) * self.bank[pid_i, v]
                                           + self.momentum * gmean)
                    self.bank[pid_i, v] = F.normalize(self.bank[pid_i, v], dim=0)

    def loss(self, feats, labels, views):
        """InfoNCE: each sample classified against ALL pids' opposite-view
        prototypes, target = its own pid.  feats:(B,D) L2-normed BN feats
        (NOT detached -> gradient flows to the encoder).

        Returns a scalar loss (0 if no sample has an initialized own-opp proto).
        """
        device = feats.device
        opp = 1 - views                                   # opposite view per sample
        total = feats.new_zeros(())
        count = 0
        for v_opp in (0, 1):
            # samples whose opposite view == v_opp (i.e. samples from view 1-v_opp)
            smask = (opp == v_opp)
            if not torch.any(smask):
                continue
            protos = self.bank[:, v_opp, :]               # (num_pid, D)
            valid = (self.inited[:, v_opp] == 1)          # (num_pid,) candidate cols
            if valid.sum() == 0:
                continue
            z = feats[smask]                              # (b,D)
            y = labels[smask]                             # (b,)
            # only keep samples whose OWN opposite-view proto exists
            own_ok = valid[y]
            if own_ok.sum() == 0:
                continue
            z = z[own_ok]
            y = y[own_ok]
            logits = (z @ protos.t()) / self.tau          # (b, num_pid)
            # mask out uninitialized candidate columns
            logits = logits.masked_fill(~valid.view(1, -1), float('-inf'))
            total = total + F.cross_entropy(logits, y)
            count += 1
        if count == 0:
            return feats.new_zeros(())
        return total / count


# --------------------------------------------------------------------------- #
# OVLI: Opposite-View Late-Interaction Evidence Alignment
# --------------------------------------------------------------------------- #
class OVLIHead(nn.Module):
    """Token projection + opposite-view late-interaction retrieval loss.

    Reuses the maxsim_probe token-extraction recipe (hook model.layer4 -> the
    GeM-input spatial map -> adaptive-avg-pool to a grid -> flatten to K local
    tokens), but adds a NEW learnable 1x1-conv/linear projection to `proj_dim`
    + per-token L2-norm.  ** The projection parameters are owned by this module
    and MUST be added to the optimizer ** (this is the structural difference vs
    OVP-Mem, which has no learnable params).

    There is NO prototype / memory / EMA: the loss is a pure sample-to-sample,
    in-batch, opposite-view supervised-contrastive retrieval objective.

    Forward never holds a backbone reference; the layer4 map is captured by a
    forward hook that does NOT detach, so gradient flows layer4 -> proj.
    """

    def __init__(self, model, in_ch=2048, proj_dim=256, grid=(8, 4),
                 alpha=0.5, tau=0.05):
        super().__init__()
        self.grid = tuple(grid)               # adaptive pool grid (gh, gw)
        self.alpha = float(alpha)             # weight on global cosine in score
        self.tau = float(tau)
        # 1x1 conv == per-token linear projection over channels (new params)
        self.proj = nn.Conv2d(in_ch, proj_dim, kernel_size=1, bias=True)
        self.proj.apply(weights_init_kaiming)
        # hook the GeM-input map; store WITHOUT detach so grad can flow.
        self._buf = {}
        self._handle = model.layer4.register_forward_hook(self._hook)

    def _hook(self, module, inp, out):
        # keep the graph (no .detach()) -> proj/loss can backprop into layer4
        self._buf['map'] = out

exec
/bin/zsh -lc 'rg -n "ovli|OVLI|ovp|OVP|MaxSim|late|optimizer|optim|hook|register|layer4|GradScaler|autocast|amp|rerank|alpha|tau" experiments/cargo_cvpb/afd_train.py' in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
3:CVPB training loop on CARGO = the afd_reid baseline trainer + OVP-Mem / OVLI.
9:  --ovp   : OVP-Mem (Opposite-View Prototype Memory).  Per-pid per-view EMA
13:  --ovli  : OVLI (Opposite-View Late-Interaction Evidence Alignment).  The
15:            sample-to-sample, in-batch, opposite-view *retrieval* loss whose
17:            token-set late-interaction (ColBERT/MaxSim-style **partial**
21:            prototype penalizes missing regions whereas partial MaxSim lets the
24:OVLI details (the load-bearing design)
26:* Tokens: hook model.layer4 (the GeM-input spatial map, 16x8 for 256x128),
28:  learnable 1x1-conv/linear projection to ovli_dim (256) + per-token L2-norm.
30:     optimizer ** (this is the key structural difference vs OVP, which adds no
31:     params).  The hook does NOT detach -> gradient flows layer4 -> proj.
35:  samples in the OPPOSITE view (1-v) and the negatives are the opposite-view
36:  samples of OTHER pids.  Same-view samples are excluded as candidates entirely
38:      score(i,j) = alpha * cos(g_i, g_j)
39:                 + (1 - alpha) * sym_MaxSim(tok_i, tok_j)
40:      sym_MaxSim = 0.5 * ( mean_u max_s <u,s> + mean_s max_u <u,s> )   # bidir
42:      L_i = -logsumexp(score(i,pos)/tau) + logsumexp(score(i,cand)/tau)
46:* lambda warmup (--ovli_warmup, default 10): the H1 lesson from OVP -- linearly
47:  ramp lambda over the first N epochs so the (randomly-initialised) projection
49:  OVLI[lam_eff pos_score neg_score gap] for collapse / over-strong monitoring.
51:* eval: OVLI is a TRAIN-time loss only; default eval is global-only (unchanged,
52:  identical to the baseline).  --ovli_rerank additionally reports a
53:  global + sym_MaxSim rerank at eval time (both numbers printed), so train/test
54:  stay symmetric and the rerank is opt-in.
59:    PK sampler P=16 x K=4 (bs=64), AdamW lr 3.5e-4, 10-ep warmup + cosine, 60 ep.
62:--ovp (OVP-Mem):
64:    L2-normalized BNNeck feature in a register_buffer of shape
67:      2) add an InfoNCE loss pulling each sample toward its OWN pid's
69:         prototypes:  CE( cos(z, P[:, opp_view]) / tau ,  y ).
70:    total = CE + triplet + lambda_ovp * OVP.   (batch size unchanged, bs=64.)
72:    Cold-start handling: a sample only contributes to the OVP loss once its own
79:    # OVP-Mem (empirical auxiliary):
82:        --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovp \
83:        --ovp \
84:        2>&1 | tee /tmp/cvpb_ovp.log
85:    # OVLI (headline; late-interaction opposite-view retrieval):
88:        --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovli \
89:        --ovli --ovli_rerank \
90:        2>&1 | tee /tmp/cvpb_ovli.log
91:    # baseline reproduction: drop all of --ovp / --ovli
110:                           RandomIdentitySampler, filter_by_view)
118:# OVP-Mem: opposite-view prototype memory
120:class OVPMemory(nn.Module):
123:    bank: register_buffer [num_pid, 2, feat_dim]  (view 0 = Aerial, 1 = Ground)
124:    init: register_buffer [num_pid, 2] uint8 = has this (pid,view) been seen.
130:    def __init__(self, num_pid, feat_dim, momentum=0.2, tau=0.05):
135:        self.tau = tau
136:        self.register_buffer('bank', torch.zeros(num_pid, 2, feat_dim))
137:        self.register_buffer('inited', torch.zeros(num_pid, 2, dtype=torch.uint8))
168:        """InfoNCE: each sample classified against ALL pids' opposite-view
172:        Returns a scalar loss (0 if no sample has an initialized own-opp proto).
175:        opp = 1 - views                                   # opposite view per sample
179:            # samples whose opposite view == v_opp (i.e. samples from view 1-v_opp)
189:            # only keep samples whose OWN opposite-view proto exists
195:            logits = (z @ protos.t()) / self.tau          # (b, num_pid)
206:# OVLI: Opposite-View Late-Interaction Evidence Alignment
208:class OVLIHead(nn.Module):
209:    """Token projection + opposite-view late-interaction retrieval loss.
211:    Reuses the maxsim_probe token-extraction recipe (hook model.layer4 -> the
215:    and MUST be added to the optimizer ** (this is the structural difference vs
216:    OVP-Mem, which has no learnable params).
218:    There is NO prototype / memory / EMA: the loss is a pure sample-to-sample,
221:    Forward never holds a backbone reference; the layer4 map is captured by a
222:    forward hook that does NOT detach, so gradient flows layer4 -> proj.
226:                 alpha=0.5, tau=0.05):
229:        self.alpha = float(alpha)             # weight on global cosine in score
230:        self.tau = float(tau)
234:        # hook the GeM-input map; store WITHOUT detach so grad can flow.
236:        self._handle = model.layer4.register_forward_hook(self._hook)
238:    def _hook(self, module, inp, out):
239:        # keep the graph (no .detach()) -> proj/loss can backprop into layer4
242:    def remove_hook(self):
249:        """Project the most-recent layer4 map into L2-normed tokens (B,K,D).
251:        Reads the map captured by the hook during the just-run forward.  The
252:        projection runs in fp32 (numerical safety for the cos/MaxSim/logsumexp
257:            raise RuntimeError("OVLIHead: no cached layer4 map; run model "
260:        # (the cached map may be fp16 under autocast).
268:    # -- symmetric token-set MaxSim (bidirectional, full BxB) ---------------- #
271:        """Bidirectional MaxSim score for every ordered pair in the batch.
295:        Per anchor i, candidates = opposite-view samples (view != view_i);
296:        positives = opposite-view samples with the same pid.  Multi-positive
306:        score = self.alpha * gsim + (1.0 - self.alpha) * msim       # (B,B)
322:        logits = score / self.tau                                   # (B,B)
326:        # floor by a wide margin (logits ~ [-20,20] at tau=0.05).
345:# OVLI rerank: eval-time global + sym_MaxSim rerank (opt-in, symmetric w/ train)
348:def ovli_rerank_eval(model, ovli, dataset, args, device):
349:    """Report A->G / G->A mAP/R1 for (a) global-only and (b) global+MaxSim
350:    rerank, using the SAME projected tokens + sym MaxSim as the training loss.
353:    the OVLI hook and reranks by score = alpha*cos(global) + (1-alpha)*MaxSim.
354:    Gallery token sets can be large, so MaxSim is chunked over the gallery axis.
355:    Returns {tag: {'global': (mAP,R1), 'rerank': (mAP,R1)}}.
362:    def extract(samples):
364:        loader = _bel(samples, args)
372:            tok = ovli.tokens_from_cached_map()           # (b,K,Dp) L2-normed
385:        """(Nq,Ng) bidirectional MaxSim, chunked over the gallery axis."""
418:                            'rerank': (float('nan'), float('nan'))}
425:        # rerank: alpha*cos + (1-alpha)*MaxSim, rank by descending hybrid
427:        hyb = args.ovli_alpha * gsim + (1.0 - args.ovli_alpha) * msim
432:            'rerank': (rmap, rr1),
443:    ap.add_argument('--out_dir', default='./log/cargo/cvpb_ovp')
457:    ap.add_argument('--no_amp', action='store_true', help='disable mixed precision')
458:    # model switches (keep AFD off by default -> pure BoT baseline + OVP)
471:    # --- OVP-Mem ---
472:    ap.add_argument('--ovp', action='store_true',
473:                    help='enable OVP-Mem opposite-view prototype InfoNCE loss')
474:    ap.add_argument('--ovp_lambda', type=float, default=0.5,
475:                    help='weight of the OVP InfoNCE loss')
476:    ap.add_argument('--ovp_tau', type=float, default=0.05,
477:                    help='temperature for the OVP InfoNCE logits')
478:    ap.add_argument('--ovp_momentum', type=float, default=0.2,
480:    ap.add_argument('--ovp_warmup', type=int, default=10,
481:                    help='H1 fix: warmup OVP lambda linearly over this many epochs')
482:    # --- OVLI (headline: opposite-view late-interaction retrieval) ---
483:    ap.add_argument('--ovli', action='store_true',
484:                    help='enable OVLI opposite-view late-interaction retrieval loss')
485:    ap.add_argument('--ovli_lambda', type=float, default=0.5,
486:                    help='weight of the OVLI retrieval loss')
487:    ap.add_argument('--ovli_tau', type=float, default=0.05,
488:                    help='temperature for the OVLI supervised-contrastive logits')
489:    ap.add_argument('--ovli_alpha', type=float, default=0.5,
490:                    help='score = alpha*cos(global) + (1-alpha)*sym_MaxSim(tokens)')
491:    ap.add_argument('--ovli_dim', type=int, default=256,
493:    ap.add_argument('--ovli_grid', type=int, nargs=2, default=[8, 4],
495:    ap.add_argument('--ovli_warmup', type=int, default=10,
496:                    help='H1 lesson: warmup OVLI lambda linearly over this many epochs')
497:    ap.add_argument('--ovli_rerank', action='store_true',
498:                    help='additionally report global+MaxSim rerank at eval time')
503:    # OVP and OVLI are two distinct cross-view mechanisms; running both at once
505:    if args.ovp and args.ovli:
506:        raise SystemExit("--ovp and --ovli are mutually exclusive "
515:    print("CVPB-ReID training (afd_reid baseline + OVP-Mem / OVLI)")
516:    print(f"  use_afd={args.use_afd}  ovp={args.ovp} "
517:          f"(lambda={args.ovp_lambda} tau={args.ovp_tau} mom={args.ovp_momentum})")
518:    print(f"  ovli={args.ovli} (lambda={args.ovli_lambda} tau={args.ovli_tau} "
519:          f"alpha={args.ovli_alpha} dim={args.ovli_dim} grid={tuple(args.ovli_grid)} "
520:          f"warmup={args.ovli_warmup} rerank={args.ovli_rerank})")
522:          f"epochs={args.epochs} warmup={args.warmup_epochs} amp={not args.no_amp}")
530:    sampler = RandomIdentitySampler(dataset.train, batch_size, args.K)
531:    train_loader = DataLoader(train_set, batch_size=batch_size, sampler=sampler,
542:    # OVP memory (buffers live on the model device; not optimized)
543:    ovp = None
544:    if args.ovp:
545:        ovp = OVPMemory(dataset.num_train_pids, model.in_planes,
546:                        momentum=args.ovp_momentum, tau=args.ovp_tau).to(device)
548:    # OVLI head: token projection (NEW learnable params) + hook on model.layer4.
549:    # The projection MUST be optimized -> add ovli.parameters() to the optimizer.
550:    ovli = None
551:    if args.ovli:
552:        ovli = OVLIHead(model, in_ch=model.in_planes, proj_dim=args.ovli_dim,
553:                        grid=tuple(args.ovli_grid), alpha=args.ovli_alpha,
554:                        tau=args.ovli_tau).to(device)
556:    # optimizer -- include the OVLI projection params (model has none of them).
557:    # AdamW(model.parameters()) alone would silently SKIP the OVLI proj, so when
558:    # --ovli is on we pass list(model.parameters()) + list(ovli.parameters()).
560:    if ovli is not None:
561:        opt_params = opt_params + list(ovli.parameters())
562:    optimizer = torch.optim.AdamW(opt_params, lr=args.lr,
564:    # self-check: confirm the OVLI projection params actually landed in the
565:    # optimizer (the key structural requirement vs OVP).
566:    if ovli is not None:
567:        opt_ids = {id(p) for grp in optimizer.param_groups for p in grp['params']}
568:        proj_in = all(id(p) in opt_ids for p in ovli.proj.parameters())
569:        n_proj = sum(p.numel() for p in ovli.proj.parameters())
570:        assert proj_in, "OVLI proj params NOT in optimizer!"
571:        print(f"  [OVLI] projection params in optimizer: {proj_in} "
572:              f"({n_proj} params, {sum(1 for _ in ovli.proj.parameters())} tensors)")
573:    scheduler = WarmupCosineLR(optimizer, args.warmup_epochs, args.epochs)
574:    scaler = torch.amp.GradScaler('cuda', enabled=not args.no_amp)
583:        if ovli is not None:
584:            ovli.train()
586:        # H1 fix: warmup OVP lambda over ovp_warmup epochs to avoid cold-start gradient spikes
587:        ovp_lambda_eff = (args.ovp_lambda * min(1.0, epoch / max(1, args.ovp_warmup))) if args.ovp else 0.0
588:        # H1 lesson: same linear warmup for OVLI (random proj -> avoid early spike)
589:        ovli_lambda_eff = (args.ovli_lambda * min(1.0, epoch / max(1, args.ovli_warmup))) if args.ovli else 0.0
590:        meters = {'loss': 0.0, 'ce': 0.0, 'tri': 0.0, 'ovp': 0.0,
591:                  'ovli': 0.0, 'ovli_pos': 0.0, 'ovli_neg': 0.0, 'acc': 0.0}
601:            optimizer.zero_grad()
602:            with torch.amp.autocast('cuda', enabled=not args.no_amp):
612:                loss_ovp = torch.zeros((), device=device)
613:                if args.ovp:
614:                    # OVP loss in fp32 for numerical safety (cosine + softmax)
616:                    loss_ovp = ovp.loss(z, labels, views)
617:                    loss = loss + ovp_lambda_eff * loss_ovp
619:            # OVLI: compute in TRUE fp32 (autocast disabled) -- the cos/MaxSim/
620:            # logsumexp at tau=0.05 want fp32, and running the proj here (after
621:            # the autocast forward already cached the fp16 layer4 map) keeps the
622:            # projection weights in fp32 while gradient still flows into layer4.
623:            loss_ovli = torch.zeros((), device=device)
624:            ovli_pos = torch.zeros((), device=device)
625:            ovli_neg = torch.zeros((), device=device)
626:            if args.ovli:
627:                with torch.amp.autocast('cuda', enabled=False):
630:                    g_ovli = F.normalize(bn.float(), dim=1)
631:                    tok = ovli.tokens_from_cached_map()          # (B,K,Dp) fp32
632:                    loss_ovli, ovli_pos, ovli_neg = ovli.loss(
633:                        g_ovli, tok, labels, views)
634:                loss = loss + ovli_lambda_eff * loss_ovli
637:            scaler.step(optimizer)
640:            # update prototypes AFTER the optimizer step, with detached feats
641:            if args.ovp:
643:                    ovp.update(F.normalize(bn.detach().float(), dim=1),
651:            meters['ovp'] += float(loss_ovp) * bs
652:            meters['ovli'] += float(loss_ovli) * bs
653:            meters['ovli_pos'] += float(ovli_pos) * bs
654:            meters['ovli_neg'] += float(ovli_neg) * bs
658:                lr = optimizer.param_groups[0]['lr']
660:                if args.ovp:
661:                    extra += f" OVP: {meters['ovp'] / seen:.4f}"
662:                if args.ovli:
663:                    extra += f" OVLI: {meters['ovli'] / seen:.4f}"
672:        ovp_msg = ""
673:        if args.ovp:
674:            ovp_msg = (f" OVP[lam_eff={ovp_lambda_eff:.3f} "
675:                       f"inited={int(ovp.inited.sum())}/{2 * ovp.num_pid}]")
676:        ovli_msg = ""
677:        if args.ovli:
678:            pos = meters['ovli_pos'] / seen
679:            neg = meters['ovli_neg'] / seen
680:            ovli_msg = (f" OVLI[lam_eff={ovli_lambda_eff:.3f} "
681:                        f"loss={meters['ovli'] / seen:.4f} "
685:              f"Acc={meters['acc'] / seen:.3f}{ovp_msg}{ovli_msg}")
690:            # opt-in OVLI rerank report (global-only number above is the primary
691:            # eval and is unchanged; this just adds the global+MaxSim rerank).
692:            if args.ovli and args.ovli_rerank:
693:                rr = ovli_rerank_eval(model, ovli, dataset, args, device)
694:                print(f"  ---- OVLI rerank (alpha={args.ovli_alpha}) "
698:                    rm, rrk = rr[tag]['rerank']
700:                          f"rerank mAP={rm:.2f} R1={rrk:.2f}")
701:                rmean = (rr['A->G']['rerank'][0] + rr['G->A']['rerank'][0]) / 2
702:                print(f"    [mean] rerank mAP={rmean:.2f}")
708:                if ovli is not None:
709:                    torch.save(ovli.state_dict(),
710:                               os.path.join(args.out_dir, 'ovli_best.pth'))
714:    if ovli is not None:
715:        torch.save(ovli.state_dict(), os.path.join(args.out_dir, 'ovli_final.pth'))
716:        ovli.remove_hook()

codex
目标文件的 docstring 已经覆盖了用户列出的机制。我现在逐段核实现代码，尤其是 `tokens_from_cached_map`、`loss`、optimizer、训练/eval 路径是否和说明一致。
exec
/bin/zsh -lc "nl -ba experiments/cargo_cvpb/afd_train.py | sed -n '240,360p'" in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
